LocationID,UserID,Country,State,City,Area
1,1,Mayotte,North Carolina,Port Brendaberg,48141 Isabel Prairie
2,2,Guam,Mississippi,Port Wendytown,8381 Leslie Meadows
3,3,Turks and Caicos Islands,Mississippi,West Sara,621 Burns Centers
4,4,Trinidad and Tobago,Illinois,West Kevin,89361 Martinez Parkways
5,5,Holy See (Vatican City State),Washington,Turnerton,198 Quinn Key
6,6,Uzbekistan,North Dakota,New Meganland,91031 David Ridge Suite 381
7,7,Singapore,New Jersey,Smithside,3717 Tina Locks Suite 860
8,8,Dominica,South Carolina,Anthonystad,561 Murphy Loop Suite 889
9,9,Antigua and Barbuda,Florida,Lake Michaelburgh,86553 Griffin Flats Suite 226
10,10,Burundi,West Virginia,North Sean,590 Douglas Mountains
11,11,Bouvet Island (Bouvetoya),Ohio,East Troy,53894 Pamela Pike
12,12,Ethiopia,Louisiana,Bryantton,5144 Tammy Isle
13,13,Barbados,Virginia,Port Andrew,707 Graham Valley
14,14,Chile,Idaho,Castroborough,666 Mays Trace Suite 254
15,15,Burkina Faso,South Carolina,South Davidburgh,795 Arthur Valleys
16,16,Bosnia and Herzegovina,Maryland,Crystalchester,6624 Megan Lodge
17,17,Zambia,New Hampshire,Port Vanessaburgh,636 Moran Ridge
18,18,United States Virgin Islands,Maryland,West Vincentland,8814 Rios Road Suite 642
19,19,Ireland,Alabama,South Michael,94726 Mcdonald Cliff
20,20,Sierra Leone,Michigan,New Tracy,43153 Perkins Passage Suite 276
21,21,Mauritania,Maryland,East Ashley,748 Kennedy Flats Suite 758
22,22,Monaco,Tennessee,Peterschester,37930 Henry Grove Apt. 129
23,23,Turkey,South Dakota,Daviston,58413 Jeanne Park
24,24,Lesotho,Oklahoma,Rebeccabury,27185 Elizabeth Ports
25,25,Nigeria,Michigan,Armstrongshire,735 James Squares
26,26,United States Minor Outlying Islands,California,Fernandezmouth,487 Christopher Harbor Suite 745
27,27,Tuvalu,Mississippi,Shawnamouth,0553 Douglas River
28,28,Palau,Tennessee,Cynthiahaven,5119 Ramirez Well
29,29,Monaco,Maine,Jefferymouth,424 Meadows Plaza
30,30,Saint Kitts and Nevis,Utah,Lake Yolandaside,02196 Sanchez Loaf Apt. 492
31,31,Czech Republic,Michigan,West Angela,2257 Misty Haven
32,32,Guinea-Bissau,North Dakota,South Danielberg,58861 Fox Causeway Apt. 470
33,33,Puerto Rico,Arizona,North Danielburgh,328 Janet Alley
34,34,Grenada,Colorado,Lake Katherine,92105 Morrow Parkway Suite 725
35,35,Holy See (Vatican City State),South Carolina,Huertaview,704 Matthew Turnpike
36,36,Tuvalu,Louisiana,Lake Michael,400 Caleb Land
37,37,Cook Islands,Kentucky,West Ernestfurt,323 Garcia Corner Apt. 377
38,38,Jersey,Arizona,West Loganfurt,1544 Gonzalez Street
39,39,Paraguay,Maine,Melissafurt,974 Nicole Corners Suite 166
40,40,Cambodia,Arizona,Stephanieside,185 Smith Land Apt. 496
41,41,Oman,North Carolina,Lake Frank,7386 Robert Manors Suite 527
42,42,United States Virgin Islands,Rhode Island,Oconnorborough,2205 Brittany Harbor
43,43,Egypt,Rhode Island,Lake Shawnport,19899 David Neck
44,44,Germany,Louisiana,Rachelfurt,49870 Orozco Trafficway
45,45,United Arab Emirates,Montana,Hunterfurt,44898 Robinson Plains Suite 708
46,46,Somalia,New York,Port Brian,785 Christopher Passage Suite 279
47,47,Bermuda,New Jersey,Bruceburgh,10248 Ramos Forks Apt. 720
48,48,Philippines,Virginia,South Derrick,517 Curtis Path Apt. 339
49,49,Timor-Leste,Arizona,Barberburgh,75249 Taylor Stream
50,50,Syrian Arab Republic,Illinois,Benjaminville,3519 David Well
51,51,Chad,Arkansas,West Mark,9757 Mark Center
52,52,Ukraine,Florida,South Eric,13145 Smith Parkways Suite 409
53,53,American Samoa,Arizona,East Lauratown,46172 Amanda Divide Apt. 323
54,54,Colombia,New York,Antonioville,3840 Merritt Squares
55,55,Guam,Montana,Hernandezmouth,588 Alexander Tunnel
56,56,Namibia,Minnesota,Annaport,52552 Garner Roads Suite 328
57,57,Norway,Arizona,Port Heidifort,4371 Rebecca Throughway Suite 423
58,58,Micronesia,Mississippi,Port Davidburgh,84876 Marvin Gateway
59,59,Eritrea,Delaware,North Steve,84848 Hall Crossroad
60,60,Iraq,California,Andrewmouth,2591 Spence Harbors
61,61,Denmark,California,Janicetown,04152 Justin Glens
62,62,Jordan,Rhode Island,Boydshire,403 Johnson Pine
